orderId,customerId,deliveryPincode,orderDate,items
1,1011,560000,12/11/2019,Sugar:5;Onion:3;Carrot:9;Bread:9;
2,1007,560013,10/11/2019,Butter:4;Beans:9;Yogurt:9;Milk:10;
3,1018,560003,02/11/2019,Carrot:6;Sugar:10;Salt:3;Milk:2;
4,1004,560015,12/11/2019,Butter:4;Bread:9;
5,1013,560007,10/11/2019,Carrot:4;Yogurt:5;Chocolate:5;Bread:1;
6,1017,560000,16/11/2019,Salt:8;Chocolate:2;Chocolate:5;Beans:6;
7,1014,560005,06/11/2019,Butter:2;Wheat:9;Bread:4;Milk:5;
8,1004,560016,12/11/2019,Bread:1;Carrot:1;Carrot:5;Beans:2;
9,1018,560008,13/11/2019,Salt:8;Chocolate:8;Butter:2;Bread:8;
10,1020,560012,09/11/2019,Wheat:6;Bread:10;Carrot:2;Onion:10;
11,1010,560014,14/11/2019,Sugar:7;Carrot:3;Onion:3;Yogurt:2;
12,1010,560012,11/11/2019,Carrot:7;Chocolate:5;Chocolate:1;Chocolate:1;
13,1014,560015,15/11/2019,Beans:5;Carrot:10;Carrot:6;
14,1009,560009,11/11/2019,Wheat:7;Wheat:9;Yogurt:6;Onion:2;
15,1020,560015,16/11/2019,Butter:6;Milk:1;Sugar:2;Sugar:7;
16,1011,560003,08/11/2019,Milk:2;Yogurt:1;Milk:6;Yogurt:10;
17,1015,560018,10/11/2019,Beans:3;Yogurt:4;
18,1012,560003,16/11/2019,Carrot:2;Sugar:5;
19,1001,560015,16/11/2019,Milk:5;Sugar:8;Wheat:5;Bread:1;
20,1014,560015,12/11/2019,Sugar:7;Salt:10;Onion:3;Bread:10;
21,1004,560007,15/11/2019,Salt:2;Carrot:6;Sugar:4;Onion:6;
22,1008,560005,06/11/2019,Bread:5;Wheat:9;Chocolate:4;Chocolate:5;
23,1018,560020,07/11/2019,Bread:6;Beans:3;Butter:6;Bread:3;
24,1016,560007,06/11/2019,Beans:3;Milk:2;Chocolate:4;Onion:7;
25,1013,560019,05/11/2019,Chocolate:3;Salt:8;Bread:3;Salt:6;
26,1015,560008,10/11/2019,Bread:8;Chocolate:4;Yogurt:4;Bread:1;
27,1007,560002,16/11/2019,Milk:5;Sugar:8;Sugar:5;Wheat:8;
28,1012,560008,13/11/2019,Sugar:4;Milk:8;Sugar:2;Salt:4;
29,1018,560012,15/11/2019,Bread:4;Wheat:7;Wheat:5;Milk:2;
30,1012,560019,05/11/2019,Salt:7;Beans:5;
31,1013,560013,20/11/2019,Bread:2;Milk:3;Chocolate:4;Beans:4;
32,1007,560016,01/11/2019,Salt:9;Bread:5;Carrot:10;Milk:4;
33,1004,560013,18/11/2019,Onion:4;Wheat:7;Milk:8;Carrot:5;
34,1013,560002,07/11/2019,Beans:7;Sugar:10;Milk:9;Salt:8;
35,1018,560006,15/11/2019,Onion:1;Milk:9;Butter:7;Wheat:8;
36,1003,560017,10/11/2019,Yogurt:3;Carrot:8;Salt:3;Butter:7;
37,1008,560009,04/11/2019,Beans:5;Sugar:7;Onion:10;Butter:8;
38,1010,560011,05/11/2019,Sugar:5;Bread:7;Onion:5;Wheat:10;
39,1001,560012,20/11/2019,Onion:4;Salt:6;Milk:10;Yogurt:5;
40,1003,560000,15/11/2019,Milk:7;Beans:5;Chocolate:9;Carrot:2;
41,1019,560020,14/11/2019,Onion:2;Milk:2;Chocolate:3;Bread:6;
42,1004,560015,12/11/2019,Wheat:4;Butter:3;Yogurt:6;Butter:3;
43,1014,560002,04/11/2019,Carrot:9;Onion:7;Sugar:10;Butter:1;
44,1015,560018,19/11/2019,Milk:7;Milk:7;Onion:6;Chocolate:10;
45,1019,560009,04/11/2019,Chocolate:2;Butter:7;Wheat:3;Sugar:5;
46,1018,560017,06/11/2019,Chocolate:4;Bread:10;Milk:3;Carrot:5;
47,1016,560017,20/11/2019,Chocolate:3;Wheat:1;Sugar:8;Carrot:7;
48,1005,560000,09/11/2019,Yogurt:9;Chocolate:8;Carrot:2;Beans:10;
49,1019,560010,10/11/2019,Carrot:6;Wheat:5;Milk:9;Milk:6;
50,1001,560003,12/11/2019,Onion:1;Bread:9;Wheat:1;Wheat:9;
51,1013,560008,08/11/2019,Sugar:8;Beans:5;Bread:4;Yogurt:3;
52,1008,560002,02/11/2019,Sugar:4;Onion:2;Bread:3;Wheat:7;
53,1006,560005,13/11/2019,Salt:6;Sugar:10;Carrot:9;Onion:7;
54,1005,560014,09/11/2019,Butter:8;Milk:6;Wheat:10;Butter:1;
55,1017,560010,10/11/2019,Butter:1;Chocolate:5;Bread:9;Yogurt:1;
56,1010,560012,11/11/2019,Milk:1;Wheat:6;Carrot:4;Onion:3;
57,1014,560002,17/11/2019,Beans:8;Carrot:6;Beans:9;Wheat:5;
58,1011,560001,20/11/2019,Beans:4;Milk:4;Bread:6;Sugar:7;
59,1015,560013,02/11/2019,Butter:1;Butter:1;Carrot:3;Chocolate:4;
60,1009,560016,12/11/2019,Onion:5;Carrot:1;Chocolate:9;Chocolate:5;
61,1000,560000,04/11/2019,Yogurt:9;Wheat:1;Sugar:4;Beans:9;
62,1016,560004,02/11/2019,Beans:2;Wheat:10;Carrot:2;
63,1020,560001,08/11/2019,Butter:7;Wheat:8;Butter:3;Salt:5;
64,1011,560017,04/11/2019,Butter:10;Bread:6;Salt:3;Sugar:7;
65,1001,560003,04/11/2019,Milk:4;Carrot:7;Butter:2;Yogurt:9;
66,1003,560019,20/11/2019,Beans:4;Sugar:5;Bread:1;Wheat:6;
67,1001,560010,13/11/2019,Bread:2;Milk:3;Bread:2;Carrot:3;
68,1006,560017,09/11/2019,Chocolate:4;Chocolate:1;Butter:5;Beans:8;
69,1003,560009,14/11/2019,Wheat:3;Carrot:10;
70,1002,560009,16/11/2019,Wheat:5;Onion:3;Salt:10;Milk:7;
71,1007,560007,05/11/2019,Chocolate:2;Butter:5;Yogurt:5;Chocolate:1;
72,1009,560004,04/11/2019,Carrot:1;Bread:2;Salt:7;Salt:8;
73,1003,560003,01/11/2019,Carrot:10;Wheat:4;Yogurt:4;Carrot:10;
74,1004,560014,20/11/2019,Salt:2;Chocolate:6;Wheat:6;Carrot:4;
75,1020,560010,13/11/2019,Carrot:5;Butter:2;Yogurt:5;Salt:5;
76,1003,560011,18/11/2019,Sugar:2;Carrot:7;Sugar:5;Yogurt:3;
77,1003,560006,09/11/2019,Butter:6;Beans:2;Onion:7;Chocolate:3;
78,1005,560004,15/11/2019,Butter:7;Milk:1;Bread:3;Butter:7;
79,1008,560008,04/11/2019,Wheat:7;Butter:2;Yogurt:7;Butter:3;
80,1019,560003,16/11/2019,Milk:7;Milk:4;Wheat:2;Carrot:3;
81,1009,560012,14/11/2019,Carrot:10;Butter:3;Wheat:2;Chocolate:3;
82,1020,560002,20/11/2019,Salt:7;Bread:7;Butter:6;Bread:5;
83,1007,560003,14/11/2019,Yogurt:1;Milk:6;Butter:10;Sugar:9;
84,1004,560002,15/11/2019,Bread:5;Yogurt:2;Yogurt:7;Wheat:7;
85,1002,560019,04/11/2019,Bread:9;Sugar:2;Bread:6;Bread:1;
86,1010,560006,13/11/2019,Bread:4;Beans:10;Butter:8;Onion:9;
